# X Y Sx Sy Sz
5.500000 5.484828 0.650904 0.026355 -0.758702
6.000000 5.773503 -0.603982 -0.026216 0.796567
6.000000 6.350853 0.606293 0.012182 -0.795148
6.500000 6.639528 -0.556581 -0.006957 0.830764
6.500000 7.216878 0.557778 -0.008561 -0.829946
7.000000 7.505553 -0.505524 0.010864 0.862744
7.000000 8.082904 0.512696 -0.021858 -0.858292
7.500000 8.371579 -0.463866 0.030101 0.885394
7.500000 8.948929 0.464416 -0.023712 -0.885300
8.000000 9.237604 -0.406600 0.023912 0.913293
8.000000 9.814955 0.405372 -0.033829 -0.913525
8.500000 10.103630 -0.358644 0.041816 0.932537
8.500000 10.680980 0.368873 -0.048025 -0.928238
9.000000 10.969655 -0.322492 0.049161 0.945295
9.000000 11.547005 0.320096 -0.050920 -0.946016
9.500000 11.835681 -0.283064 0.050220 0.957785
9.500000 12.413031 0.291634 -0.045991 -0.955424
10.000000 12.701706 -0.241520 0.045311 0.969338
10.000000 13.279056 0.246986 -0.055068 -0.967453
10.500000 13.567731 -0.200719 0.049808 0.978382
10.500000 14.145082 0.209148 -0.058368 -0.976141
11.000000 14.433757 -0.159628 0.049338 0.985944
11.000000 15.011107 0.171330 -0.054715 -0.983693
11.500000 15.299782 -0.123135 0.051109 0.991073
11.500000 15.877132 0.130243 -0.048259 -0.990307
12.000000 16.165808 -0.075140 0.041654 0.996303
12.000000 16.743158 0.092550 -0.048147 -0.994543
12.500000 17.031833 -0.050729 0.037234 0.998018
12.500000 17.609183 0.066017 -0.038187 -0.997087
13.000000 17.897858 -0.015403 0.028453 0.999476
13.000000 18.475209 0.032929 -0.038468 -0.998717
13.500000 18.763884 0.012072 0.025171 0.999610
13.500000 19.341234 -0.005078 -0.034181 -0.999403
